iter	Passed	Remaining
399	44943	67414
400	45065	67318
401	45175	67200
402	45321	67139
403	45636	67325
404	45784	67264
405	45904	67161
406	46026	67060
407	46170	66992
408	46302	66905
409	46741	67262
410	47023	67389
411	47178	67333
412	47331	67272
413	47507	67244
414	47651	67171
415	47773	67067
416	47889	66953
417	48000	66833
418	48108	66708
419	48212	66579
420	48324	66460
421	48428	66330
422	48539	66211
423	48652	66094
424	48760	65969
425	48879	65861
426	48991	65742
427	49098	65617
428	49212	65501
429	49324	65383
430	49473	65313
431	49650	65280
432	49784	65190
433	49897	65073
434	50016	64964
435	50123	64838
436	50241	64727
437	50358	64615
438	50492	64524
439	50627	64434
440	50758	64339
441	50873	64225
442	50984	64104
443	51110	64003
444	51218	63879
445	51333	63764
446	51444	63643
447	51554	63522
448	51674	63412
449	51786	63294
450	51908	63188
451	52020	63069
452	52135	62954
453	52248	62835
454	52366	62724
455	52482	62611
456	52589	62485
457	52700	62366
458	52804	62238
459	52909	62111
460	53024	61996
461	53132	61873
462	53248	61759
463	53360	61640
464	53474	61524
465	53584	61403
466	53692	61281
467	53810	61168
468	53917	61044
469	54024	60921
470	54142	60810
471	54284	60725
472	54425	60638
473	54557	60542
474	54720	60480
475	54849	60380
476	54971	60272
477	55096	60168
478	55235	60078
479	55373	59987
480	55539	59927
481	55689	59848
482	55820	59749
483	55925	59622
484	56031	59497
485	56135	59369
486	56245	59248
487	56346	59117
488	56455	58995
489	56576	58885
490	56682	58760
491	56807	58654
492	56931	58548
493	57049	58435
494	57153	58308
495	57261	58185
496	57362	58054
497	57467	57928
498	57570	57800
499	57673	57673
500	57779	57548
501	57880	57419
502	57987	57296
503	58093	57171
504	58208	57055
505	58316	56933
506	58433	56820
507	58557	56712
508	58673	56598
509	58804	56498
510	58937	56400
511	59058	56289
512	59176	56177
513	59285	56056
514	59395	55935
515	59510	55819
516	59614	55693
517	59719	55569
518	59827	55447
519	59932	55321
520	60038	55198
521	60147	55077
522	60251	54952
523	60356	54827
524	60461	54703
525	60563	54575
526	60668	54452
527	60782	54335
528	60894	54217
529	61002	54096
530	61132	53994
531	61274	53903
532	61427	53820
533	61608	53762
534	61922	53820
535	62099	53757
536	62212	53639
537	62325	53520
538	62440	53404
539	62549	53283
540	62662	53164
541	62785	53054
542	62929	52962
543	63051	52852
544	63182	52748
545	63295	52630
546	63407	52511
547	63527	52398
548	63644	52283
549	63758	52166
550	63873	52049
551	63988	51932
552	64147	51851
553	64280	51749
554	64399	51635
555	64506	51512
556	64618	51392
557	64725	51270
558	64831	51146
559	64935	51021
560	65037	50893
561	65092	50730
562	65200	50608
563	65308	50486
564	65415	50363
565	65524	50243
566	65631	50121
567	65736	49997
568	65844	49875
569	65954	49755
570	66062	49633
571	66178	49518
572	66285	49396
573	66395	49275
574	66500	49152
575	66612	49034
576	66723	48915
577	66831	48794
578	66939	48672
579	67050	48553
580	67162	48435
581	67277	48319
582	67392	48203
583	67522	48098
584	67643	47986
585	67767	47876
586	67890	47766
587	68000	47646
588	68112	47528
589	68225	47410
590	68337	47292
591	68444	47171
592	68552	47050
593	68664	46932
594	68771	46811
595	68880	46690
596	68987	46569
597	69096	46449
598	69208	46331
599	69315	46210
600	69420	46087
601	69523	45964
602	69627	45840
603	69730	45717
604	69833	45593
605	69938	45471
606	70041	45348
607	70211	45267
608	70321	45149
609	70429	45028
610	70538	44909
611	70642	44786
612	70751	44666
613	70858	44545
614	70963	44424
615	71068	44302
616	71174	44181
617	71288	44064
618	71396	43945
619	71509	43828
620	71639	43722
621	71760	43610
622	71881	43497
623	71993	43380
624	72112	43267
625	72229	43153
626	72337	43033
627	72473	42930
628	72584	42812
629	72692	42692
630	72801	42573
631	72910	42454
632	73021	42336
633	73126	42215
634	73234	42095
635	73342	41975
636	73450	41856
637	73559	41737
638	73667	41617
639	73771	41496
640	73875	41374
641	73980	41253
642	74084	41132
643	74190	41012
644	74294	40891
645	74400	40770
646	74508	40651
647	74617	40533
648	74724	40413
649	74829	40292
650	74934	40172
651	75040	40052
652	75149	39933
653	75266	39819
654	75375	39701
655	75482	39582
656	75594	39465
657	75717	39354
658	75845	39246
659	75972	39137
660	76089	39023
661	76204	38907
662	76315	38790
663	76429	38675
664	76539	38557
665	76654	38442
666	76762	38323
667	76873	38206
668	76982	38088
669	77089	37969
670	77195	37849
671	77308	37734
672	77419	37616
673	77525	37497
674	77631	37378
675	77737	37258
676	77840	37138
677	77943	37017
678	78049	36898
679	78152	36777
680	78259	36659
681	78369	36541
682	78473	36422
683	78581	36303
684	78687	36184
685	78791	36064
686	78897	35946
687	79007	35828
688	79125	35715
689	79246	35603
690	79369	35492
691	79484	35377
692	79642	35281
693	79840	35203
694	80004	35109
695	80132	35000
696	80256	34889
697	80368	34772
698	80486	34658
699	80604	34544
700	80720	34429
701	80828	34311
702	80935	34193
703	81053	34079
704	81160	33960
705	81269	33843
706	81382	33727
707	81487	33607
708	81605	33493
709	81714	33376
710	81827	33260
711	81933	33141
712	82041	33023
713	82154	32907
714	82262	32789
715	82376	32674
716	82488	32558
717	82597	32440
718	82710	32325
719	82817	32206
720	82927	32089
721	83036	31972
722	83141	31853
723	83256	31738
724	83370	31623
725	83486	31508
726	83608	31396
727	83717	31279
728	83840	31167
729	83953	31051
730	84076	30939
731	84196	30825
732	84327	30716
733	84452	30605
734	84587	30497
735	84710	30385
736	84836	30273
737	84962	30162
738	85079	30048
739	85220	29942
740	85333	29826
741	85452	29712
742	85558	29594
743	85675	29479
744	85784	29362
745	85893	29245
746	86010	29130
747	86117	29012
748	86235	28898
749	86344	28781
750	86466	28668
751	86594	28557
752	86716	28444
753	86843	28333
754	86949	28215
755	87089	28108
756	87217	27997
757	87345	27886
758	87476	27775
759	87583	27658
760	87704	27544
761	87812	27427
762	87936	27314
763	88068	27204
764	88196	27092
765	88308	26976
766	88427	26862
767	88554	26750
768	88690	26641
769	88822	26531
770	88938	26416
771	89062	26303
772	89171	26186
773	89289	26071
774	89397	25954
775	89519	25840
776	89628	25723
777	89742	25607
778	89873	25496
779	89988	25381
780	90105	25266
781	90213	25149
782	90337	25036
783	90448	24919
784	90555	24801
785	90668	24685
786	90771	24567
787	90883	24450
788	90992	24333
789	91095	24215
790	91211	24100
791	91316	23982
792	91437	23868
793	91543	23750
794	91658	23635
795	91827	23533
796	91947	23419
797	92138	23323
798	92298	23218
799	92597	23149
800	92766	23046
801	92913	22938
802	93056	22829
803	93193	22718
804	93323	22606
805	93459	22495
806	93578	22379
807	93693	22263
808	93804	22146
809	93916	22029
810	94164	21944
811	94288	21830
812	94420	21717
813	94538	21602
814	94650	21485
815	94756	21366
816	94862	21248
817	94983	21133
818	95119	21021
819	95299	20919
820	95437	20807
821	95552	20691
822	95675	20576
823	95797	20461
824	95954	20353
825	96131	20250
826	96281	20141
827	96419	20029
828	96570	19919
829	96710	19808
830	96820	19690
831	96929	19572
832	97048	19456
833	97160	19338
834	97266	19220
835	97373	19101
836	97479	18983
837	97600	18867
838	97735	18754
839	97899	18647
840	98027	18533
841	98180	18423
842	98346	18315
843	98466	18199
844	98583	18083
845	98698	17966
846	98823	17851
847	98961	17738
848	99086	17623
849	99197	17505
850	99307	17387
851	99411	17268
852	99523	17151
853	99631	17033
854	99748	16916
855	99870	16800
856	99991	16684
857	100112	16568
858	100228	16451
859	100335	16333
860	100440	16215
861	100544	16096
862	100672	15981
863	100795	15865
864	100914	15749
865	101041	15634
866	101173	15520
867	101286	15402
868	101396	15285
869	101530	15171
870	101647	15054
871	101765	14938
872	101913	14825
873	102055	14712
874	102196	14599
875	102325	14484
876	102439	14367
877	102551	14249
878	102660	14131
879	102777	14015
880	102886	13897
881	102993	13779
882	103100	13661
883	103207	13543
884	103316	13425
885	103426	13307
886	103538	13190
887	103664	13074
888	103774	12957
889	103882	12839
890	103988	12721
891	104096	12603
892	104200	12485
893	104313	12368
894	104419	12250
895	104525	12132
896	104632	12014
897	104738	11896
